"","temp","wd","ws","atmos_pres","dew_point","rh","ceil_hgt","visibility","aa1_1","aa1_2","aa1_3","aa1_4","year","month","day","timestamp"
"1",0,160,4.1,1015.9,0,95.8,122,1609,1,1,"3","1",2019,1,1,"00:00"
"2",0,160,3.6,1014.3,0,100,91,805,1,1,"3","1",2019,1,1,"01:00"
"3",0,160,3.6,1012.9,0,100,122,402,1,1.2,"3","1",2019,1,1,"02:00"
"4",0,150,3.6,1009,0,100,91,805,1,1.2,"3","1",2019,1,1,"03:00"
"5",0,140,3.6,1005.1,-0.6,95.7,122,1609,1,0.2,"3","1",2019,1,1,"04:00"
"6",0,150,3.1,1002.1,0,95.8,122,4023,1,0.2,"3","1",2019,1,1,"05:00"
"7",0.6,150,4.1,999.3,0.6,96.5,122,3219,1,0.7,"3","1",2019,1,1,"06:00"
"8",1.7,110,2.1,996.8,1.7,100,183,1609,1,0,"2","1",2019,1,1,"07:00"
"9",2,140,2.1,994.4,2,100,122,402,1,0,"2","1",2019,1,1,"08:00"
"10",2.2,300,1.5,0,2.2,100,91,402,1,0.3,"9","5",2019,1,1,"09:00"
"11",1.7,230,3.1,0,1.7,100,61,1207,1,0,"9","5",2019,1,1,"10:00"
"12",1.7,240,3.1,0,1.7,95.8,122,16093,1,0,"9","5",2019,1,1,"11:00"
"13",5,270,5.1,996.6,1.7,76,884,16093,1,0,"9","5",2019,1,1,"12:00"
"14",5.6,290,7.2,999.6,-1.7,59.4,1219,16093,1,0,"9","5",2019,1,1,"13:00"
"15",4.4,290,10.8,1001.5,-2.8,59.5,22000,16093,1,0,"9","5",2019,1,1,"14:00"
"16",3.3,290,6.2,1004.7,-3.3,62,22000,16093,1,0,"9","5",2019,1,1,"15:00"
"17",2.2,320,6.7,1006,-4.4,61.7,22000,16093,1,0,"9","5",2019,1,1,"16:00"
"18",1.7,310,9.3,1008.3,-5.6,58.4,22000,16093,1,0,"9","5",2019,1,1,"17:00"
"19",0.6,310,6.2,1010.4,-6.1,60.8,22000,16093,1,0,"9","5",2019,1,1,"18:00"
"20",0,300,3.6,1012.8,-6.7,60.7,22000,16093,1,0,"9","5",2019,1,1,"19:00"
"21",-1.7,320,5.1,1014.2,-11.1,48.7,22000,16093,1,0,"9","5",2019,1,1,"20:00"
"22",-2.8,310,5.7,1014.9,-12.2,48.4,22000,16093,1,0,"9","5",2019,1,1,"21:00"
"23",-3.3,310,4.6,1016.2,-13.3,45.9,22000,16093,1,0,"9","5",2019,1,1,"22:00"
"24",-4.4,320,5.1,1017.5,-15,43.4,22000,16093,1,0,"9","5",2019,1,1,"23:00"
"25",-5.6,320,4.6,1018.7,-15.6,45.2,22000,16093,1,0,"9","5",2019,1,2,"00:00"
"26",-6.7,310,2.6,1019.7,-15.6,49.2,22000,16093,1,0,"9","5",2019,1,2,"01:00"
"27",-7.2,330,2.1,1021.4,-15,53.7,22000,16093,1,0,"9","5",2019,1,2,"02:00"
"28",-8.3,320,2.6,1022.1,-15.6,55.7,22000,16093,1,0,"9","5",2019,1,2,"03:00"
"29",-8.9,310,2.6,1022.8,-16.1,56,22000,16093,1,0,"9","5",2019,1,2,"04:00"
"30",-9.4,320,3.6,1022.9,-17.2,53.1,22000,16093,1,0,"9","5",2019,1,2,"05:00"
"31",-9.4,270,2.6,1025.2,-17.8,50.5,22000,16093,1,0,"9","5",2019,1,2,"06:00"
"32",-9.4,290,3.1,1026.9,-17.8,50.5,22000,16093,1,0,"9","5",2019,1,2,"07:00"
"33",-9.4,310,4.1,1028,-18.3,48.4,22000,16093,1,0,"9","5",2019,1,2,"08:00"
"34",-8.9,320,3.1,1028,-18.9,44.2,22000,16093,1,0,"9","5",2019,1,2,"09:00"
"35",-7.8,10,2.6,1027.6,-18.3,42.7,22000,16093,1,0,"9","5",2019,1,2,"10:00"
"36",-6.7,340,3.6,1026.9,-18.3,39.2,22000,16093,1,0,"9","5",2019,1,2,"11:00"
"37",-5.6,300,2.1,1026.7,-18.3,36.1,22000,16093,1,0,"9","5",2019,1,2,"12:00"
"38",-4.4,310,3.6,1026.3,-17.8,34.4,22000,16093,1,0,"9","5",2019,1,2,"13:00"
"39",-4.4,300,3.1,1026.3,-18.9,31.3,22000,16093,1,0,"9","5",2019,1,2,"14:00"
"40",-4.4,290,2.1,1026,-18.9,31.3,22000,16093,1,0,"9","5",2019,1,2,"15:00"
"41",-5,999,0,1026.1,-19.4,31.4,22000,16093,1,0,"9","5",2019,1,2,"16:00"
"42",-5.6,999,0,1025.8,-17.8,37.6,22000,16093,1,0,"9","5",2019,1,2,"17:00"
"43",-7.8,160,1.5,1025.9,-16.1,51.4,22000,16093,1,0,"9","5",2019,1,2,"18:00"
"44",-7.2,999,0,1025.9,-15,53.7,22000,16093,1,0,"9","5",2019,1,2,"19:00"
"45",-8.3,140,1.5,1025.2,-13.3,67.2,22000,16093,1,0,"9","5",2019,1,2,"20:00"
"46",-8.3,130,1.5,1024.7,-13.9,64,22000,16093,1,0,"9","5",2019,1,2,"21:00"
"47",-7.8,130,2.1,1024.1,-15.6,53.6,3658,16093,1,0,"9","5",2019,1,2,"22:00"
"48",-7.8,110,2.1,1022.8,-15.6,53.6,3353,16093,1,0,"9","5",2019,1,2,"23:00"
"49",-7.8,140,2.1,1022.3,-14.4,59.1,2286,16093,1,0,"9","5",2019,1,3,"00:00"
"50",-7.2,110,1.5,1021.2,-14.4,56.4,3048,16093,1,0,"9","5",2019,1,3,"01:00"
"51",-6.7,120,2.1,1019.8,-12.8,61.9,2743,16093,1,0,"9","5",2019,1,3,"02:00"
"52",-5.6,999,0,1018.7,-11.7,62.1,1097,16093,1,0,"9","5",2019,1,3,"03:00"
"53",-6.1,999,0,1016.4,-10.6,70.5,1829,16093,1,0,"9","5",2019,1,3,"04:00"
"54",-7.8,340,3.1,1014.9,-10.6,80.3,1524,16093,1,0,"9","5",2019,1,3,"05:00"
"55",-7.8,340,2.1,1013.9,-10.6,80.3,671,2414,1,0,"2","1",2019,1,3,"06:00"
"56",-8.3,340,2.1,1013.7,-9.4,88.3,244,1207,1,0,"2","1",2019,1,3,"07:00"
"57",-8.9,340,3.1,1013.3,-10,91.7,213,1207,1,1,"9","5",2019,1,3,"08:00"
"58",-9.4,330,4.1,1013.7,-10.6,91,244,402,1,0.5,"3","1",2019,1,3,"09:00"
"59",-9.4,330,3.1,1012.9,-10.6,87.5,335,805,1,0,"2","1",2019,1,3,"10:00"
"60",-8.3,330,4.1,1011.7,-10,87.5,244,11265,1,0,"2","1",2019,1,3,"11:00"
"61",-6.1,360,3.1,1010.5,-8.3,84.4,244,14484,1,0,"9","5",2019,1,3,"12:00"
"62",-4.4,330,3.1,1010,-6.7,84,213,16093,1,0,"9","5",2019,1,3,"13:00"
"63",-3.9,30,2.1,1010,-6.7,77.3,22000,16093,1,0,"9","5",2019,1,3,"14:00"
"64",-3.9,30,2.6,1010.6,-6.7,80.9,22000,16093,1,0,"9","5",2019,1,3,"15:00"
"65",-4.4,50,1.5,1011,-7.2,80.8,22000,16093,1,0,"9","5",2019,1,3,"16:00"
"66",-5.6,360,1.5,1011.4,-7.8,84.5,22000,14484,1,0,"9","5",2019,1,3,"17:00"
"67",-5.6,10,1.5,1011.9,-7.2,88.5,22000,16093,1,0,"9","5",2019,1,3,"18:00"
"68",-5,999,0,1012.3,-7.2,84.5,22000,16093,1,0,"9","5",2019,1,3,"19:00"
"69",-6.1,999,0,1013.1,-7.2,91.9,22000,16093,1,0,"9","5",2019,1,3,"20:00"
"70",-6.1,999,0,1013.4,-7.8,87.8,1829,14484,1,0,"9","5",2019,1,3,"21:00"
"71",-6.7,150,1.5,1013,-7.2,96.2,22000,12875,1,0,"9","5",2019,1,3,"22:00"
"72",-7.2,999,0,1012.3,-8.3,91.8,3353,11265,1,0,"9","5",2019,1,3,"23:00"
"73",-6.7,190,2.1,1012.2,-7.8,91.9,22000,16093,1,0,"9","5",2019,1,4,"00:00"
"74",-7.2,999,0,1013.1,-8.3,91.8,1524,14484,1,0,"9","5",2019,1,4,"01:00"
"75",-6.1,170,1.5,1012.9,-7.2,91.9,1524,14484,1,0,"9","5",2019,1,4,"02:00"
"76",-6.1,180,1.5,1012.4,-6.7,95.5,1433,12875,1,0,"9","5",2019,1,4,"03:00"
"77",-4.4,180,2.6,1012.1,-5.6,91.3,1524,16093,1,0,"9","5",2019,1,4,"04:00"
"78",-4.4,210,2.1,1011.6,-5.6,91.3,1494,16093,1,0,"9","5",2019,1,4,"05:00"
